title,time,author_id,sentiment
"Elon Musk's X holds talks with Amazon, PubMatic to lure smaller advertisers: report",2023-12-08,56228617,Bullish
Inflation and consumer trends might still negatively impact the market in 2024 - analyst,2023-12-08,59269293,Bearish
Amazon tests new unlimited grocery delivery service for Prime members,2023-12-07,954720,Bullish
"Amazon to stop accepting Venmo as a payment option from January 10, 2024",2023-12-07,59268336,Bearish
AMD's AI event brings flurry of positive reactions; others are neutral,2023-12-07,54324280,Neutral
"EU reaches tentative deal on rules for ChatGPT-like AI systems, talks ongoing on surveillance use - report",2023-12-07,54324280,Neutral
30 Stocks shunned by hedge and mutual funds - GS,2023-12-06,59269293,Bearish
"Top stocks with highest hedge fund + mutual fund positions, according to GS",2023-12-06,59269293,Neutral
Apple iMessage may reportedly escape 'gatekeeper' status in EU,2023-12-06,55407719,Neutral
China launches locally built new-generation supercomputer - report,2023-12-06,54324280,Neutral
Amazon's Twitch to shut operations in South Korea due to high costs,2023-12-06,54324280,Bearish
"Holiday shopping watch: Walmart may win on pricing, Amazon dominating on speed",2023-12-05,954720,Bearish
Amazon follows Google lead in chastising Microsoft cloud practices in UK,2023-12-05,55407719,Bearish
"November cloud instance results show 'slowing' growth in US, China: KeyBanc",2023-12-05,55407719,Bearish
"Goldman Sachs: Top 30 mutual fund underweight holdings, including Apple and Tesla",2023-12-05,53367831,Neutral
EU regulator approves up to €1.2B state aid for cloud computing project,2023-12-05,54324280,Bullish
Amazon is a multi-trillion dollar giant. Oppenheimer thinks it can get even bigger.,2023-12-03,59008794,Bullish
Amazon contracts rival SpaceX for Project Kuiper satellite deployment,2023-12-01,56228617,Bullish
Apple said to discuss bundling streaming service with Paramount+,2023-12-01,55407719,Bearish
Google seeks antitrust action on Microsoft in UK cloud market - report,2023-12-01,54324280,Bearish
"Amazon, Warner Bros. get exclusive NASCAR rights; NASCAR gets big payday",2023-11-30,59008794,Bullish
EU Commission lawyers initially opposed warning Amazon on iRobot deal - Reuters,2023-11-29,52996117,Bearish
Nvidia likely to remain the dominant AI GPU supplier for years: Citi,2023-11-29,55407719,Neutral
"Amazon Web Services, Accenture aid Merck move its IT infrastructure to AWS",2023-11-29,59131291,Bullish
"Amazon cloud conference impresses, Wall Street sees AI boost",2023-11-29,55407719,Bullish
"Amazon Web Services, Amgen to work on generative AI solutions to advance therapies",2023-11-28,56228617,Bullish
Amazon unveils AI assistant Amazon Q for businesses,2023-11-28,53161691,Bullish
"Amazon unveils Q, a new generative AI chatbot to aid customer service",2023-11-28,59008794,Bullish
S&P 500’s biggest names will continue to dominate the market in 2024 – strategist,2023-11-28,59269293,Neutral
"AWS shows off new AI processors, expands Nvidia deal as chip race heats up",2023-11-28,55407719,Bullish
Retail watch: Black Friday to Cyber Monday shopping activity sets a record,2023-11-28,954720,Bullish
