time,price,Bearish,Bullish,Neutral
2023-07-05,130.3800048828125,0.0,1.0,0.0
2023-07-06,128.36000061035156,2.0,2.0,0.0
2023-07-07,129.77999877929688,0.0,0.0,1.0
2023-07-10,127.12999725341795,0.0,0.0,1.0
2023-07-11,128.77999877929688,2.0,1.0,4.0
2023-07-12,130.8000030517578,0.0,1.0,1.0
2023-07-13,134.3000030517578,2.0,2.0,0.0
2023-07-14,134.67999267578125,1.0,0.0,0.0
2023-07-17,133.55999755859375,0.0,0.0,1.0
2023-07-18,132.8300018310547,1.0,0.0,1.0
2023-07-19,135.36000061035156,2.0,0.0,1.0
2023-07-20,129.9600067138672,0.0,0.0,0.0
2023-07-21,130.0,2.0,1.0,3.0
2023-07-24,128.8000030517578,1.0,0.0,1.0
2023-07-25,129.1300048828125,0.0,2.0,0.0
2023-07-26,128.14999389648438,1.0,1.0,1.0
2023-07-27,128.25,0.0,0.0,0.0
2023-07-28,132.2100067138672,0.0,0.0,2.0
2023-07-31,133.67999267578125,0.0,0.0,0.0
2023-08-01,131.69000244140625,1.0,2.0,2.0
2023-08-02,128.2100067138672,0.0,2.0,1.0
2023-08-03,128.91000366210938,0.0,5.0,2.0
2023-08-04,139.57000732421875,0.0,2.0,1.0
2023-08-07,142.22000122070312,0.0,1.0,3.0
2023-08-08,139.94000244140625,1.0,1.0,0.0
2023-08-09,137.85000610351562,0.0,1.0,1.0
2023-08-10,138.55999755859375,1.0,0.0,0.0
2023-08-11,138.41000366210938,0.0,1.0,4.0
2023-08-14,140.57000732421875,1.0,0.0,7.0
2023-08-15,137.6699981689453,0.0,1.0,2.0
2023-08-16,135.07000732421875,0.0,0.0,1.0
2023-08-17,133.97999572753906,1.0,0.0,2.0
2023-08-18,133.22000122070312,1.0,1.0,1.0
2023-08-21,134.67999267578125,0.0,1.0,1.0
2023-08-22,134.25,0.0,0.0,1.0
2023-08-23,135.52000427246094,0.0,2.0,1.0
2023-08-24,131.83999633789062,1.0,2.0,0.0
2023-08-25,133.25999450683594,0.0,1.0,1.0
2023-08-28,133.13999938964844,2.0,0.0,2.0
2023-08-29,134.91000366210938,2.0,1.0,0.0
2023-08-30,135.07000732421875,2.0,0.0,0.0
2023-08-31,138.00999450683594,2.0,1.0,1.0
2023-09-01,138.1199951171875,1.0,0.0,1.0
2023-09-05,137.27000427246094,1.0,0.0,0.0
2023-09-06,135.36000061035156,0.0,0.0,1.0
2023-09-07,137.85000610351562,0.0,2.0,0.0
2023-09-08,138.22999572753906,0.0,0.0,0.0
2023-09-11,143.10000610351562,0.0,0.0,1.0
2023-09-12,141.22999572753906,1.0,2.0,0.0
2023-09-13,144.85000610351562,0.0,1.0,0.0
2023-09-14,144.72000122070312,2.0,0.0,0.0
2023-09-15,140.38999938964844,0.0,1.0,1.0
2023-09-18,139.97999572753906,0.0,1.0,1.0
2023-09-19,137.6300048828125,0.0,2.0,1.0
2023-09-20,135.2899932861328,1.0,2.0,2.0
2023-09-21,129.3300018310547,0.0,1.0,3.0
2023-09-22,129.1199951171875,2.0,1.0,0.0
2023-09-25,131.27000427246094,0.0,3.0,2.0
2023-09-26,125.9800033569336,2.0,1.0,1.0
2023-09-27,125.9800033569336,0.0,1.0,0.0
2023-09-28,125.9800033569336,1.0,0.0,3.0
2023-09-29,127.12000274658205,1.0,0.0,0.0
2023-10-02,129.4600067138672,0.0,2.0,0.0
2023-10-03,124.72000122070312,4.0,1.0,0.0
2023-10-04,127.0,1.0,1.0,1.0
2023-10-05,125.95999908447266,2.0,1.0,0.0
2023-10-06,127.95999908447266,1.0,1.0,1.0
2023-10-09,128.25999450683594,0.0,0.0,4.0
2023-10-10,129.47999572753906,2.0,0.0,3.0
2023-10-11,131.8300018310547,0.0,1.0,2.0
2023-10-12,132.3300018310547,1.0,0.0,2.0
2023-10-13,129.7899932861328,0.0,1.0,2.0
2023-10-16,132.5500030517578,0.0,1.0,1.0
2023-10-17,131.47000122070312,0.0,3.0,1.0
2023-10-18,128.1300048828125,0.0,3.0,1.0
2023-10-19,128.39999389648438,1.0,0.0,0.0
2023-10-20,125.16999816894533,0.0,1.0,0.0
2023-10-23,126.55999755859376,0.0,2.0,2.0
2023-10-24,128.55999755859375,1.0,3.0,0.0
2023-10-25,121.38999938964844,1.0,1.0,2.0
2023-10-26,119.56999969482422,1.0,4.0,1.0
2023-10-27,127.73999786376952,1.0,1.0,2.0
2023-10-30,132.7100067138672,1.0,0.0,3.0
2023-10-31,133.08999633789062,1.0,0.0,3.0
2023-11-01,137.0,0.0,0.0,1.0
2023-11-02,138.07000732421875,0.0,3.0,3.0
2023-11-03,138.60000610351562,2.0,0.0,2.0
