title,time,author_id,sentiment
Inflation and consumer trends might still negatively impact the market in 2024 - analyst,2023-12-08,59269293,Bearish
Meta Platforms on track to snap six-day red streak,2023-12-07,57442451,Bullish
"Cyclical value and small caps are set to outperform, according to Stifel’s 6-month outlook",2023-12-07,59269293,Neutral
AMD's AI event brings flurry of positive reactions; others are neutral,2023-12-07,54324280,Neutral
"EU reaches tentative deal on rules for ChatGPT-like AI systems, talks ongoing on surveillance use - report",2023-12-07,54324280,Neutral
Meta rolls out default end-to-end encryption on Messenger,2023-12-07,51785401,Bullish
"AMD sinks as it takes wraps off Nvidia competitor, updates AI forecast",2023-12-06,55407719,Bearish
30 Stocks shunned by hedge and mutual funds - GS,2023-12-06,59269293,Neutral
"Top stocks with highest hedge fund + mutual fund positions, according to GS",2023-12-06,59269293,Neutral
Apple iMessage may reportedly escape 'gatekeeper' status in EU,2023-12-06,55407719,Bearish
China launches locally built new-generation supercomputer - report,2023-12-06,54324280,Neutral
"Goldman Sachs: Top 30 mutual fund underweight holdings, including Apple and Tesla",2023-12-05,53367831,Neutral
"Meta, IBM launch open source AI Alliance with over 50 members",2023-12-05,51785401,Bullish
Mark Zuckerberg sells about $190M in stock as part of trading plan,2023-12-04,59008794,Bearish
Tech to rally in 2024 as AI leads biggest transformation since birth of the internet: Wedbush,2023-12-04,59008794,Bullish
Meta CEO Zuckerberg files to sell stock worth $9.06M,2023-12-04,59131291,Bearish
U.S. strong buy ideas for the next 12 months – according to Citi,2023-12-04,59269293,Neutral
Meta faces €550M lawsuit from Spanish media association - report,2023-12-04,54324280,Bearish
Montana's state-wide ban on TikTok blocked by federal judge,2023-12-01,27427253,Neutral
Google will not be able to replicate the monopoly they had with Search – Altimeter Capital,2023-11-30,59269293,Bearish
Meta's ad-free subscription service sees EU consumer groups' complaint after Austria,2023-11-30,54324280,Bearish
Google comes to agreement with Canada in online news fight (updated),2023-11-29,427396,Neutral
"Meta, Snap, X CEOs to testify in front of Congress over child sex exploitation",2023-11-29,59008794,Bearish
TikTok trying to get Indonesia e-commerce permit - report,2023-11-29,54324280,Neutral
S&P 500’s biggest names will continue to dominate the market in 2024 – strategist,2023-11-28,59269293,Neutral
AI shows slightly negative impact on wages but not on jobs - European Central Bank research,2023-11-28,54324280,Neutral
Meta's ad-free subscription service faces advocacy group's complaint in Austria,2023-11-28,54324280,Bearish
Meta sees US court rule against it in privacy tussle with FTC - report,2023-11-28,54324280,Bearish
"Meta, Google see ad trends improve in November: Roth MKM",2023-11-27,59008794,Bullish
"These are the most under-owned large-cap tech stocks, led by Microsoft",2023-11-27,59269293,Neutral
"US, UK among countries sign pact on guidelines to make AI secure - report",2023-11-27,54324280,Neutral
Four key calls for U.S. equities in 2024 – strategists,2023-11-24,59269293,Neutral
EU lawmakers back rules directing big tech to tackle child sexual abuse online - report,2023-11-23,54324280,Bearish
Increased market concentration doesn’t necessarily mean market stress - RBC Capital Markets,2023-11-22,53367831,Neutral
Jefferies U.S. quant portfolio - ROIC stars and high yield,2023-11-22,51784941,Neutral
Hedge funds are crowding more than half of their investments in their top 10 positions,2023-11-21,59269293,Neutral
"White House, Biden join Meta's Threads soon after Musk backlash",2023-11-21,55510976,Bullish
Magnificent 7 account for nearly a fifth of global stock market influence,2023-11-20,51784941,Neutral
Goldman Sachs 2024 stock strategy - sales growth,2023-11-20,51784941,Neutral
"Apple, Bytedance, Meta officially file cases against 'gatekeeper' status",2023-11-17,55407719,Bearish
The 12 least expected market outcomes of '24 - and how to trade them,2023-11-17,51784941,Neutral
Goldman Sachs 2024 stock strategy - high quality,2023-11-17,51784941,Neutral
"Meta unveils AI-based video editing tools Emu Video, Emu Edit",2023-11-17,54324280,Bullish
"Google delays launch of AI model Gemini, a potential rival to OpenAI's GPT-4 - report",2023-11-17,54324280,Neutral
TikTok follows Meta to appeal 'gatekeeper' status in EU,2023-11-16,54324280,Neutral
Goldman Sachs channels Taylor Swift for its 2024 stock market forecast,2023-11-15,51784941,Neutral
"Coatue Management trims stakes in five Magnificent 7 members, adds Palantir, Shopify",2023-11-15,56228617,Bearish
"Meta Platforms to appeal 'gatekeeper' designation for Messenger, Marketplace",2023-11-15,55407719,Neutral
Meta allowing ads claiming 2020 election was rigged - WSJ,2023-11-15,427396,Bearish
"Investing in quality, growth and beaten-down cyclicals is the key to 2024’s S&P 500",2023-11-15,59269293,Neutral
UBS highlights 14 stocks on its list of high-conviction names,2023-11-15,53367831,Neutral
"Daniel Loeb's Third Point takes new stakes in Meta, U.S. Steel, exits Alibaba",2023-11-15,49447318,Bullish
Baidu's CEO cautions on wasting resources to develop AI models in China - report,2023-11-15,54324280,Neutral
"Whale Rock exits Netflix, boosts Alphabet stake in Q3",2023-11-14,52996117,Bearish
"David Tepper's Appaloosa exits Apple, Marvell, Broadcom in Q3",2023-11-14,54370868,Bearish
"Corvex Management adds Endeavor Group, exits Catalent",2023-11-14,52996117,Neutral
"Druckenmiller's Duquesne takes new stakes in Alibaba, Alphabet; exits Meta",2023-11-14,49447318,Bearish
"Tiger Global takes new stakes in Alibaba, Doordash, exits DLocal in Q3",2023-11-14,54370868,Neutral
Amazon to run shopping ads on Snapchat for users to buy directly from app,2023-11-14,54324280,Bearish
YouTube to soon require creators to disclose AI-generated videos,2023-11-14,54324280,Neutral
"Amazon allows Meta users to buy from apps, in win for both: Citi",2023-11-13,59008794,Bullish
Google sues to block false Bard AI ads targeting small businesses - report,2023-11-13,54324280,Neutral
"Apple leading the way as 'new tech bull market has begun,' Wedbush says",2023-11-13,55407719,Neutral
Google in talks to invest in AI startup Character.Ai - report,2023-11-11,52996117,Neutral
Chinese AI start-up stockpiled Nvidia chips before US curbs kicked in - report,2023-11-10,54324280,Neutral
"Meta, Amazon debut feature to shop directly from Facebook and Instagram ads",2023-11-10,55510976,Bullish
Meta eyes return to China with Tencent deal to sell VR headsets,2023-11-10,55510976,Bullish
Big tech stocks should continue to perform better than the whole S&P 500 into 2024,2023-11-09,59269293,Bullish
Magnificent 7 stock ownership hits 'critical mass',2023-11-09,51784941,Neutral
"Google, Meta get EU court win to avoid Austrian content curbs",2023-11-09,54324280,Bullish
Samsung testing AI model 'Gauss' to potentially land it in products,2023-11-08,54324280,Neutral
Amazon developing AI model 'Olympus' amid race with OpenAI - report,2023-11-08,54324280,Neutral
ByteDance to restructure virtual reality business Pico - report,2023-11-07,54324280,Bearish
"Meta restricts political, regulated industry advertisers from using generative AI ads tools - report",2023-11-07,54324280,Bearish
Meta CEO Zuckerberg files to sell $8.9M in stock,2023-11-06,57442451,Bearish
The new normal will be an environment where fundamentals matter again,2023-11-06,59269293,Neutral
Small caps could see a bounce next year,2023-11-06,59269293,Neutral
"OpenAI's first developer conference could see cheaper, powerful AI models",2023-11-06,54324280,Neutral
Ant Group gets Chinese government nod for public release of AI products - report,2023-11-06,54324280,Neutral
"Alibaba unveils open-source RISC-V tech chip for use in AI, cloud data centers - report",2023-11-03,54324280,Neutral
China to welcome Micron's expansion as relations with US ease - report,2023-11-03,54324280,Neutral
Elon Musk warns AI will make all jobs obsolete at some point,2023-11-03,55510976,Neutral
US lawmakers urge Biden administration for plans on China's use of open-source chip tech - report,2023-11-02,54324280,Neutral
Meta faces ban on 'behavioral advertising' in EU after Norway,2023-11-01,54324280,Bearish
Baidu launches paid version AI product Ernie Bot - report,2023-11-01,54324280,Neutral
Apple does not have to be overweight in portfolios - Here is why,2023-10-31,59269293,Neutral
US Supreme Court hears social media free speech arguments,2023-10-31,59008794,Neutral
Wolfe Research ‘Cracks are starting to show’ for Magnificent 7,2023-10-31,53367831,Bearish
"Arista surges after Q3 beat, Morgan Stanley upgrade on 'ethernet eventuality'",2023-10-31,54324280,Neutral
"Canada bans WeChat, Kaspersky apps on government mobile devices",2023-10-31,54324280,Neutral
Trick or Treat: S&P 500 top and bottom YTD performers,2023-10-31,53367831,Neutral
"Meta to offer ad-free subscriptions for Facebook, Instagram in Europe",2023-10-30,54324280,Bullish
US President Biden issues executive order to manage risks from AI,2023-10-30,54324280,Neutral
