time,price,Bearish,Bullish,Neutral
2023-07-25,350.9800109863281,1.0,0.0,0.0
2023-07-26,337.7699890136719,2.0,3.0,4.0
2023-07-27,330.7200012207031,1.0,0.0,1.0
2023-07-28,338.3699951171875,0.0,0.0,3.0
2023-07-31,335.9200134277344,0.0,0.0,0.0
2023-08-01,336.3399963378906,0.0,1.0,3.0
2023-08-02,327.5,0.0,0.0,2.0
2023-08-03,326.6600036621094,2.0,0.0,2.0
2023-08-04,327.7799987792969,0.0,0.0,2.0
2023-08-07,330.1099853515625,0.0,0.0,2.0
2023-08-08,326.04998779296875,0.0,1.0,0.0
2023-08-09,322.2300109863281,0.0,0.0,1.0
2023-08-10,322.92999267578125,2.0,0.0,0.0
2023-08-11,321.010009765625,1.0,1.0,2.0
2023-08-14,324.0400085449219,0.0,0.0,2.0
2023-08-15,321.8599853515625,1.0,1.0,1.0
2023-08-16,320.3999938964844,0.0,0.0,1.0
2023-08-17,316.8800048828125,0.0,0.0,0.0
2023-08-18,316.4800109863281,2.0,0.0,1.0
2023-08-21,321.8800048828125,0.0,0.0,1.0
2023-08-22,322.4599914550781,2.0,1.0,4.0
2023-08-23,327.0,1.0,1.0,2.0
2023-08-24,319.9700012207031,2.0,0.0,0.0
2023-08-25,322.9800109863281,1.0,0.0,1.0
2023-08-28,323.70001220703125,1.0,1.0,1.0
2023-08-29,328.4100036621094,1.0,0.0,1.0
2023-08-30,328.7900085449219,0.0,1.0,2.0
2023-08-31,327.760009765625,1.0,1.0,0.0
2023-09-01,328.6600036621094,0.0,0.0,2.0
2023-09-05,333.54998779296875,1.0,0.0,0.0
2023-09-06,332.8800048828125,0.0,1.0,2.0
2023-09-07,329.9100036621094,0.0,2.0,1.0
2023-09-08,334.2699890136719,0.0,0.0,2.0
2023-09-11,337.94000244140625,0.0,2.0,0.0
2023-09-12,331.7699890136719,1.0,0.0,2.0
2023-09-13,336.0599975585937,0.0,2.0,1.0
2023-09-14,338.70001220703125,1.0,2.0,1.0
2023-09-15,330.2200012207031,0.0,1.0,0.0
2023-09-18,329.0599975585937,1.0,0.0,1.0
2023-09-19,328.6499938964844,1.0,3.0,1.0
2023-09-20,320.7699890136719,1.0,0.0,3.0
2023-09-21,319.5299987792969,0.0,3.0,1.0
2023-09-22,317.010009765625,1.0,2.0,0.0
2023-09-25,317.5400085449219,0.0,4.0,4.0
2023-09-26,312.1400146484375,0.0,3.0,3.0
2023-09-27,312.7900085449219,2.0,0.0,5.0
2023-09-28,313.6400146484375,1.0,3.0,1.0
2023-09-29,315.75,0.0,1.0,1.0
2023-10-02,321.79998779296875,1.0,3.0,0.0
2023-10-03,313.3900146484375,2.0,2.0,1.0
2023-10-04,318.9599914550781,1.0,1.0,1.0
2023-10-05,319.3599853515625,3.0,1.0,1.0
2023-10-06,327.260009765625,0.0,4.0,0.0
2023-10-09,329.82000732421875,2.0,0.0,1.0
2023-10-10,328.3900146484375,1.0,3.0,1.0
2023-10-11,332.4200134277344,3.0,2.0,2.0
2023-10-12,331.1600036621094,1.0,2.0,3.0
2023-10-13,327.7300109863281,1.0,3.0,0.0
2023-10-16,332.6400146484375,1.0,0.0,3.0
2023-10-17,332.0599975585937,1.0,3.0,2.0
2023-10-18,330.1099853515625,0.0,3.0,2.0
2023-10-19,331.32000732421875,0.0,1.0,1.0
2023-10-20,326.6700134277344,1.0,0.0,2.0
2023-10-23,329.32000732421875,0.0,3.0,2.0
2023-10-24,330.5299987792969,1.0,4.0,1.0
2023-10-25,340.6700134277344,1.0,1.0,3.0
2023-10-26,327.8900146484375,1.0,0.0,3.0
2023-10-27,329.8099975585937,1.0,0.0,1.0
2023-10-30,337.3099975585937,2.0,1.0,2.0
2023-10-31,338.1099853515625,1.0,2.0,0.0
2023-11-01,346.07000732421875,2.0,1.0,1.0
2023-11-02,348.32000732421875,0.0,0.0,2.0
2023-11-03,352.79998779296875,0.0,1.0,3.0
2023-11-06,356.5299987792969,1.0,2.0,3.0
2023-11-07,360.5299987792969,1.0,1.0,2.0
2023-11-08,363.2000122070313,1.0,2.0,3.0
2023-11-09,360.6900024414063,1.0,2.0,1.0
2023-11-10,369.6700134277344,2.0,1.0,0.0
2023-11-13,366.6799926757813,1.0,2.0,4.0
2023-11-14,370.2699890136719,3.0,0.0,4.0
2023-11-15,369.6700134277344,0.0,1.0,7.0
2023-11-16,376.1700134277344,0.0,2.0,2.0
2023-11-17,369.8500061035156,3.0,0.0,4.0
2023-11-20,377.4400024414063,1.0,5.0,3.0
2023-11-21,373.0700073242188,1.0,1.0,3.0
2023-11-22,377.8500061035156,0.0,1.0,3.0
2023-11-24,377.4299926757813,0.0,0.0,2.0
2023-11-27,378.6099853515625,0.0,2.0,4.0
2023-11-28,382.7000122070313,0.0,2.0,4.0
2023-11-29,378.8500061035156,0.0,1.0,1.0
2023-11-30,378.9100036621094,1.0,1.0,3.0
2023-12-01,374.510009765625,1.0,0.0,1.0
2023-12-04,369.1400146484375,0.0,1.0,0.0
2023-12-05,372.5199890136719,2.0,2.0,4.0
2023-12-06,368.7999877929688,3.0,1.0,2.0
2023-12-07,370.9500122070313,1.0,0.0,3.0
