title,time,author_id,sentiment
Inflation and consumer trends might still negatively impact the market in 2024 - analyst,2023-12-08,59269293,Bearish
"Cyclical value and small caps are set to outperform, according to Stifel’s 6-month outlook",2023-12-07,59269293,Neutral
Indian automakers do not want Tesla to catch a break on import taxes,2023-12-07,954720,Bearish
Elon Musk's artificial intelligence startup xAI: A timeline of notable events,2023-12-06,56228617,Neutral
"Electric vehicle, boating and RV stocks could benefit as high-interest rate worries fade",2023-12-06,954720,Bullish
30 Stocks shunned by hedge and mutual funds - GS,2023-12-06,59269293,Neutral
"Top stocks with highest hedge fund + mutual fund positions, according to GS",2023-12-06,59269293,Neutral
Elon Musk denies xAI is raising money 'right now',2023-12-06,55407719,Neutral
Elon Musk's xAI startup files to raise up to $1B in equity offering,2023-12-05,56228617,Bullish
"Goldman Sachs: Top 30 mutual fund underweight holdings, including Apple and Tesla",2023-12-05,53367831,Bearish
Tesla faces sympathy strike actions in Denmark,2023-12-05,954720,Bearish
"Tesla's China-made EV sales surged 14% M/M, but fell 18% Y/Y",2023-12-04,32439325,Bearish
Tesla's Cybertruck launch has analysts buzzing over the master plan,2023-12-01,954720,Bullish
Tesla delivers first Cybertrucks as it looks to shake up the electric truck segment,2023-11-30,954720,Bullish
Meme stocks are gaining traction,2023-11-30,51784941,Neutral
"The UAW goes electric with unionization efforts aimed at Tesla, Rivian and Lucid",2023-11-29,954720,Bearish
Biden EV rule will impact qualifications for subsidies - report,2023-11-29,53161691,Neutral
What’s behind Fred Hickey’s put on Broadcom,2023-11-29,59269293,Neutral
Consumer Reports names the best and worst auto brands for reliability,2023-11-29,954720,Neutral
Jabil plunges on guidance cut; Stifel says buy on weakness,2023-11-29,55407719,Neutral
S&P 500’s biggest names will continue to dominate the market in 2024 – strategist,2023-11-28,59269293,Neutral
Tesla's Cybertruck is finally here - will the launch create a halo effect?,2023-11-28,954720,Bullish
EV jolt: Bernstein says BYD should be much closer in valuation to Tesla,2023-11-27,954720,Bearish
Tesla sues Swedish government agency over strike impact,2023-11-27,954720,Bearish
Tesla's union problems in Sweden include trash piling up and no mail service,2023-11-25,954720,Bearish
Top equities with the largest retail order imbalance – JPM strategy,2023-11-24,59269293,Neutral
Four key calls for U.S. equities in 2024 – strategists,2023-11-24,59269293,Neutral
Tesla's plans for India appear to be heating up,2023-11-24,954720,Bullish
"Top gainers and laggards in S&P, DJI, and NDX on Wednesday",2023-11-22,59269293,Neutral
Congressmen ask SEC to probe Elon Musk over Neuralink comments: report,2023-11-22,55634950,Bearish
Increased market concentration doesn’t necessarily mean market stress - RBC Capital Markets,2023-11-22,53367831,Neutral
"Elon Musk, Tesla engineers were aware of Autopilot defect - judge",2023-11-22,55510976,Bearish
Magnificent 7 account for nearly a fifth of global stock market influence,2023-11-20,51784941,Neutral
Tesla investors warn the brand may have an Elon Musk problem,2023-11-18,954720,Bearish
Short seller Jim Chanos closing down hedge funds - report,2023-11-17,53161691,Neutral
The 12 least expected market outcomes of '24 - and how to trade them,2023-11-17,51784941,Neutral
Goldman Sachs channels Taylor Swift for its 2024 stock market forecast,2023-11-15,51784941,Neutral
"Coatue Management trims stakes in five Magnificent 7 members, adds Palantir, Shopify",2023-11-15,56228617,Neutral
"Investing in quality, growth and beaten-down cyclicals is the key to 2024’s S&P 500",2023-11-15,59269293,Neutral
"China reset? Big business, Biden set to meet with Xi Jinping",2023-11-15,55510976,Neutral
"Corvex Management adds Endeavor Group, exits Catalent",2023-11-14,52996117,Neutral
APEC summit could be beneficial for US-China trade,2023-11-13,59269293,Neutral
EG Group inks deal to use Tesla's ulta-fast chargers across Europe,2023-11-13,954720,Bullish
"Exxon was most shorted S&P 500 stock last month, topping Tesla - BI",2023-11-11,543215,Neutral
A Magnificent 7 stock crash would be one for the history books,2023-11-10,51784941,Bearish
Tesla swings lower amid some concerns on the Chinese economy,2023-11-09,954720,Bearish
"Unionization pushes at Tesla, Toyota and Volkswagen could be on tap even if the odds are long",2023-11-09,954720,Neutral
Big tech stocks should continue to perform better than the whole S&P 500 into 2024,2023-11-09,59269293,Neutral
Magnificent 7 stock ownership hits 'critical mass',2023-11-09,51784941,Neutral
"Tesla is tagged with a bear rating by HSBC due to risks around Elon Musk, late timelines",2023-11-09,954720,Bearish
China auto sales soar in October off strong electric vehicle demand,2023-11-08,954720,Bullish
Elon Musk says Neuralink's vision chip will be ready in a few years,2023-11-07,56228617,Bullish
Automakers are not making affordable EVs anytime soon,2023-11-07,59269293,Bearish
Tesla plans to raise Model Y prices in China,2023-11-07,954720,Bullish
Small caps could see a bounce next year,2023-11-06,59269293,Neutral
Tesla gains on report it may produce a €25K electric vehicle out of Germany,2023-11-06,954720,Bullish
Electric vehicle stocks have lost their buzz - stunning partnerships could be the new plan,2023-11-04,954720,Neutral
Union pressure and higher auto wages - it's not just a Detroit issue,2023-11-03,954720,Neutral
Elon Musk warns AI will make all jobs obsolete at some point,2023-11-03,55510976,Neutral
Elon Musk says Starlink service hits 'breakeven cash flow' ahead of possible IPO,2023-11-02,55407719,Bullish
Subaru to use Tesla charging standard for North American EVs,2023-11-01,53161691,Bullish
Cathie Wood’s ARKK suffers outflows for the third consecutive month in October,2023-11-01,53367831,Bearish
"Tesla eyes producing 200,000 Cybertrucks annually - Elon Musk",2023-11-01,55510976,Bullish
Tesla wins California autopilot crash case,2023-10-31,53161691,Bullish
Wolfe Research ‘Cracks are starting to show’ for Magnificent 7,2023-10-31,53367831,Bearish
Trick or Treat: S&P 500 top and bottom YTD performers,2023-10-31,53367831,Neutral
Ford to add 3K more Tesla Superchargers to its EV charging network,2023-10-30,56228617,Bullish
Tesla drags as it hits lowest intraday since May; down 4%,2023-10-30,53161691,Bearish
