title,time,author_id,sentiment
Inflation and consumer trends might still negatively impact the market in 2024 - analyst,2023-12-08,59269293,Bearish
Apple's iPad engineering may move to Vietnam from China: report,2023-12-08,59008794,Neutral
GameStop can buy shares in other companies - will it be a value investor or go the meme route?,2023-12-08,954720,Neutral
Apple plans to make 25% of its iPhones in India - report,2023-12-08,51785401,Bullish
"Cyclical value and small caps are set to outperform, according to Stifel’s 6-month outlook",2023-12-07,59269293,Neutral
"EU reaches tentative deal on rules for ChatGPT-like AI systems, talks ongoing on surveillance use - report",2023-12-07,54324280,Neutral
"Apple exec behind iPhone screen, touch ID tech leaving company - report",2023-12-07,54324280,Bearish
"Apple said to get new iPads, MacBook Air ready for 'early next year:' report",2023-12-06,55407719,Bullish
30 Stocks shunned by hedge and mutual funds - GS,2023-12-06,59269293,Neutral
"Top stocks with highest hedge fund + mutual fund positions, according to GS",2023-12-06,59269293,Bullish
"Apple, Google users getting spied on by governments, says US senator",2023-12-06,54324280,Bearish
"Apple mulls moving to India-made iPhone batteries, reducing dependency on China - report",2023-12-06,54324280,Bullish
Apple iMessage may reportedly escape 'gatekeeper' status in EU,2023-12-06,55407719,Bullish
China launches locally built new-generation supercomputer - report,2023-12-06,54324280,Neutral
Apple climbs back above $3T amid smartphone optimism,2023-12-05,55407719,Bullish
"Apple, Qualcomm in focus as Morgan Stanley says smartphone recovery 'not yet priced in'",2023-12-05,55407719,Bullish
"November cloud instance results show 'slowing' growth in US, China: KeyBanc",2023-12-05,55407719,Bearish
"Goldman Sachs: Top 30 mutual fund underweight holdings, including Apple and Tesla",2023-12-05,53367831,Bearish
Apple said to ask India for universal charging port requirement exemption: report,2023-12-05,55407719,Bearish
"Foxconn raises Q4 outlook on back of peak season, November revenue climbs Y/Y",2023-12-05,54324280,Bullish
Apple still a Top Pick at Wedbush,2023-12-04,59008794,Bullish
Tech to rally in 2024 as AI leads biggest transformation since birth of the internet: Wedbush,2023-12-04,59008794,Bullish
Apple iPhone production halted in India: report,2023-12-04,59008794,Bearish
Apple records best-ever smartwatch shipments in Q3: Counterpoint Research,2023-12-01,59008794,Bullish
U.K.'s antitrust regulator wins appeal in Apple case,2023-12-01,54324280,Bearish
Apple said to discuss bundling streaming service with Paramount+,2023-12-01,55407719,Bullish
Montana's state-wide ban on TikTok blocked by federal judge,2023-12-01,27427253,Neutral
Google will not be able to replicate the monopoly they had with Search – Altimeter Capital,2023-11-30,59269293,Bearish
Apple to be largest customer of new Amkor $2B Arizona semiconductor packaging plant,2023-11-30,56228617,Bullish
Policy winners and losers of a 2024–2028 Democratic White House - BTIG,2023-11-30,59269293,Neutral
"Intel, Western Digital, Qualcomm others offer up thoughts at UBS tech conference",2023-11-30,55407719,Neutral
Meta's ad-free subscription service sees EU consumer groups' complaint after Austria,2023-11-30,54324280,Neutral
Arm gets minimal income from Apple despite massive usage: report,2023-11-29,59008794,Bearish
Apple ending credit card partnership with Goldman Sachs - WSJ,2023-11-28,427396,Bearish
S&P 500’s biggest names will continue to dominate the market in 2024 – strategist,2023-11-28,59269293,Neutral
Apple expected to release cheaper Vision Pro version: report,2023-11-28,59008794,Bullish
Apple supplier Foxconn returns to India with $1.5B project,2023-11-28,59008794,Bullish
AI shows slightly negative impact on wages but not on jobs - European Central Bank research,2023-11-28,54324280,Neutral
Meta's ad-free subscription service faces advocacy group's complaint in Austria,2023-11-28,54324280,Neutral
"These are the most under-owned large-cap tech stocks, led by Microsoft",2023-11-27,59269293,Neutral
"Apple rival Realme ships 200M phones, to go after premium market: report",2023-11-27,59008794,Bearish
"US, UK among countries sign pact on guidelines to make AI secure - report",2023-11-27,54324280,Neutral
"U.S. sees record Black Friday online sales, driven by price-conscious shoppers",2023-11-27,55510976,Bullish
"Mastercard Spendingpulse says U.S. retail sales rose 2.5%, driven by E-commerce surge",2023-11-27,52365730,Neutral
Black Friday and Cyber Monday spending expected to hit new record,2023-11-25,53161691,Bullish
Top equities with the largest retail order imbalance – JPM strategy,2023-11-24,59269293,Neutral
"Apple iPhone demand in China is 'firm,' recent checks show: Wedbush",2023-11-24,55407719,Bullish
Four key calls for U.S. equities in 2024 – strategists,2023-11-24,59269293,Neutral
Foxconn founder Terry Gou quits Taiwan presidential race - report,2023-11-24,54324280,Neutral
EU lawmakers back rules directing big tech to tackle child sexual abuse online - report,2023-11-23,54324280,Neutral
"Disney launches a 'Wish' for a win against 'Napoleon,' 'Hunger Games'",2023-11-22,427396,Neutral
October global smartphone sales break two-year losing streak,2023-11-22,59008794,Bullish
"Apple's iPhone production stable; App Store accelerates, Morgan Stanley says",2023-11-22,59008794,Bullish
Increased market concentration doesn’t necessarily mean market stress - RBC Capital Markets,2023-11-22,53367831,Neutral
Apple faces complaint from US labor board over benefits for union workers - report,2023-11-22,54324280,Bearish
"China fines Foxconn unit $2,800 amid broader probe on group - report",2023-11-22,54324280,Bearish
Tim Cook discusses Apple's 'very detailed' CEO succession plans,2023-11-22,52365730,Neutral
Sonos to release headphones in bid to compete with Bose and Apple,2023-11-21,53161691,Bearish
"Apple's iPhone demand is mixed, KeyBanc says",2023-11-21,59008794,Neutral
Taiwan Semiconductor mulls building 3rd plant in Japan for 3nm tech - report,2023-11-21,54324280,Bullish
"The Walt Disney Company is in a position to grow, according to Guggenheim Securities",2023-11-20,59269293,Neutral
Apple's Vision Pro headset delayed slightly: report,2023-11-20,59008794,Bearish
Magnificent 7 account for nearly a fifth of global stock market influence,2023-11-20,51784941,Bullish
"Apple, Lions Gate join IBM in nixing ads on X amid antisemitic content concerns (update)",2023-11-17,55407719,Bearish
"Apple, Bytedance, Meta officially file cases against 'gatekeeper' status",2023-11-17,55407719,Bearish
The 12 least expected market outcomes of '24 - and how to trade them,2023-11-17,51784941,Neutral
IBM halts advertising on X as report finds ads placed next to pro-Nazi content,2023-11-17,55510976,Neutral
"Apple's iPhone getting RCS messaging support, in key reversal",2023-11-16,427396,Bullish
Apple's struggle with building modem is a good sign for Qualcomm,2023-11-16,59008794,Bearish
Apple getting into search is a 'rising risk' to Google's bread and butter,2023-11-16,59008794,Bearish
"Apple, Qualcomm, Broadcom CEOs among those attending dinner with President Xi",2023-11-16,55407719,Neutral
TikTok follows Meta to appeal 'gatekeeper' status in EU,2023-11-16,54324280,Neutral
Goldman Sachs channels Taylor Swift for its 2024 stock market forecast,2023-11-15,51784941,Neutral
"Meta Platforms to appeal 'gatekeeper' designation for Messenger, Marketplace",2023-11-15,55407719,Neutral
"Investing in quality, growth and beaten-down cyclicals is the key to 2024’s S&P 500",2023-11-15,59269293,Neutral
UBS highlights 14 stocks on its list of high-conviction names,2023-11-15,53367831,Neutral
"Apple, Google may face app tax increase in Japan: report",2023-11-15,55407719,Bearish
"Warren Buffett's Berkshire Hathaway exits GM, Activision bets in Q3",2023-11-15,55510976,Bearish
"David Tepper's Appaloosa exits Apple, Marvell, Broadcom in Q3",2023-11-14,54370868,Bearish
"Ray Dalio's Bridgewater boosts stakes in 3M, Best Buy, exits Apple, Shopify",2023-11-14,54370868,Bearish
"Foxconn Q3 net profit rises, has neutral outlook for industry in 2024",2023-11-14,54324280,Neutral
China smartphone sales bounce back in October: Counterpoint Research,2023-11-14,59008794,Bullish
Google's probably going to lose antitrust case: Barclays,2023-11-14,59008794,Neutral
Oppenheimer favors tech amid upbeat prediction for S&P 500,2023-11-14,53367831,Neutral
YouTube to soon require creators to disclose AI-generated videos,2023-11-14,54324280,Neutral
"Dell, HP, Apple in spotlight as October notebook sales slip",2023-11-14,55407719,Bearish
"Nvidia may see more AI upside, Android market 'modestly' better, Barclays says",2023-11-13,55407719,Neutral
"Apple leading the way as 'new tech bull market has begun,' Wedbush says",2023-11-13,55407719,Bullish
Apple is working on generative AI. Morgan Stanley shares how it could monetize it.,2023-11-12,55407719,Bullish
"Exxon was most shorted S&P 500 stock last month, topping Tesla - BI",2023-11-11,543215,Neutral
ESPN BET launches next week - do Disney and PENN have an edge?,2023-11-11,954720,Neutral
Apple bumps trade-in payouts amid a slowdown in sales,2023-11-11,59008794,Bearish
Why did Applied Materials stock go up today? Thank Taiwan Semiconductor,2023-11-10,55407719,Bullish
"Apple set to appeal EU App Store, iMessage decisions: report",2023-11-10,59008794,Neutral
"Qualcomm killing Iridium deal likely due to cost, tech issues, analysts say",2023-11-10,55407719,Bearish
A Magnificent 7 stock crash would be one for the history books,2023-11-10,51784941,Bearish
Chinese AI start-up stockpiled Nvidia chips before US curbs kicked in - report,2023-11-10,54324280,Neutral
Apple to pay $25M to settle with US DOJ over hiring discrimination based on citizenship status,2023-11-10,54324280,Bearish
Big tech stocks should continue to perform better than the whole S&P 500 into 2024,2023-11-09,59269293,Bullish
Apple faces potential setback in €13B tax order case in EU,2023-11-09,54324280,Bearish
Magnificent 7 stock ownership hits 'critical mass',2023-11-09,51784941,Bullish
"Actors, studios reach tentative agreement to end strike - reports",2023-11-08,52996117,Neutral
Changes afoot for Apple's App Store after EU regulation,2023-11-08,59008794,Neutral
"Samsung, Qualcomm cite concerns with India's plan for live TV on phones - report",2023-11-08,54324280,Neutral
Chinese President Xi said to meet with US executives amid effort to calm investors,2023-11-07,55407719,Neutral
Apple said to delay software updates as glitches remain: report,2023-11-07,59008794,Bearish
Intel gains as CEO says 18A chip design moving to production next year: report,2023-11-07,55407719,Neutral
"Baidu ordered AI chips from Huawei, moving away from Nvidia amid US curbs - report",2023-11-07,54324280,Bearish
"Google competes with Amazon, Yelp, others in search, witness says at antitrust trial",2023-11-06,55407719,Neutral
Apple Mac reviewers love the new battery life; gaming showing signs of life,2023-11-06,59008794,Bullish
Small caps could see a bounce next year,2023-11-06,59269293,Neutral
"Foxconn's October revenue dips Y/Y, sticks to 'significant growth outlook' in Q4",2023-11-06,54324280,Bearish
Fortnite maker Epic Games takes Google to court over antitrust claims,2023-11-06,55510976,Neutral
Apple still has fans on Wall Street,2023-11-04,59008794,Bullish
"AMD, Microchip, Monolithic power chip stocks higher to end week",2023-11-03,55407719,Neutral
"Biggest stock movers today: Apple, Block, Digital Ocean, Moderna, BILL and more",2023-11-03,32439325,Neutral
"4 stocks to watch on Friday: Apple, Coinbase and more",2023-11-03,56228617,Neutral
Chart Talk: Banks at 80-year low vs. S&P 500 and tech is at an all time high,2023-11-03,53367831,Neutral
"Apple's guidance implies continued weakness, Wall Street sees 'lots of noise'",2023-11-03,55407719,Bearish
China to welcome Micron's expansion as relations with US ease - report,2023-11-03,54324280,Neutral
Apple revenue to at least equal last year's longer quarter; shares trade lower,2023-11-02,59008794,Bearish
Apple in charts: iPhone sales climb 3% Y/Y; Services growth hits 16%,2023-11-02,54408948,Bullish
Apple slips even as Q4 sales top estimates,2023-11-02,55407719,Bearish
"Apple GAAP EPS of $1.46 beats by $0.07, revenue of $89.49B in-line",2023-11-02,1108356,Bullish
Apple declares $0.24 dividend,2023-11-02,54931997,Bullish
Elon Musk says Starlink service hits 'breakeven cash flow' ahead of possible IPO,2023-11-02,55407719,Neutral
Qualcomm leads chips higher as sector awaits earnings bonanza,2023-11-02,55407719,Bullish
