,time,price,Bearish,Bullish,Neutral
0,2023-08-03,191.1699981689453,2.0,4.0,0.0
1,2023-08-04,181.9900054931641,4.0,0.0,1.0
2,2023-08-07,178.85000610351562,1.0,0.0,1.0
3,2023-08-08,179.8000030517578,2.0,0.0,0.0
4,2023-08-09,178.19000244140625,0.0,1.0,2.0
5,2023-08-10,177.97000122070312,1.0,1.0,1.0
6,2023-08-11,177.7899932861328,1.0,0.0,2.0
7,2023-08-14,179.4600067138672,1.0,2.0,1.0
8,2023-08-15,177.4499969482422,0.0,1.0,0.0
9,2023-08-16,176.57000732421875,0.0,1.0,1.0
10,2023-08-17,174.0,0.0,0.0,2.0
11,2023-08-18,174.49000549316406,2.0,0.0,0.0
12,2023-08-21,175.83999633789062,0.0,0.0,1.0
13,2023-08-22,177.22999572753906,0.0,0.0,0.0
14,2023-08-23,181.1199951171875,0.0,2.0,0.0
15,2023-08-24,176.3800048828125,0.0,0.0,0.0
16,2023-08-25,178.61000061035156,0.0,0.0,0.0
17,2023-08-28,180.19000244140625,1.0,1.0,2.0
18,2023-08-29,184.1199951171875,1.0,2.0,1.0
19,2023-08-30,187.6499938964844,3.0,1.0,1.0
20,2023-08-31,187.8699951171875,0.0,1.0,0.0
21,2023-09-01,189.4600067138672,0.0,1.0,2.0
22,2023-09-05,189.6999969482422,2.0,1.0,1.0
23,2023-09-06,182.91000366210935,1.0,1.0,4.0
24,2023-09-07,177.55999755859375,3.0,0.0,1.0
25,2023-09-08,178.17999267578125,0.0,2.0,1.0
26,2023-09-11,179.36000061035156,0.0,1.0,2.0
27,2023-09-12,176.3000030517578,1.0,2.0,2.0
28,2023-09-13,174.2100067138672,2.0,0.0,4.0
29,2023-09-14,175.74000549316406,2.0,1.0,0.0
30,2023-09-15,175.00999450683594,1.0,0.0,1.0
31,2023-09-18,177.97000122070312,0.0,2.0,0.0
32,2023-09-19,179.07000732421875,1.0,1.0,0.0
33,2023-09-20,175.49000549316406,2.0,1.0,3.0
34,2023-09-21,173.92999267578125,0.0,0.0,2.0
35,2023-09-22,174.7899932861328,1.0,1.0,0.0
36,2023-09-25,176.0800018310547,1.0,2.0,3.0
37,2023-09-26,171.9600067138672,0.0,1.0,2.0
38,2023-09-27,170.42999267578125,3.0,1.0,1.0
39,2023-09-28,170.69000244140625,1.0,2.0,2.0
40,2023-09-29,171.2100067138672,0.0,1.0,3.0
41,2023-10-02,173.75,2.0,2.0,0.0
42,2023-10-03,172.39999389648438,2.0,3.0,1.0
43,2023-10-04,173.66000366210938,4.0,0.0,0.0
44,2023-10-05,174.91000366210938,1.0,2.0,0.0
45,2023-10-06,177.49000549316406,2.0,1.0,2.0
46,2023-10-09,178.99000549316406,2.0,1.0,6.0
47,2023-10-10,178.38999938964844,2.0,2.0,3.0
48,2023-10-11,179.8000030517578,0.0,0.0,3.0
49,2023-10-12,180.7100067138672,1.0,2.0,1.0
50,2023-10-13,178.85000610351562,0.0,1.0,1.0
51,2023-10-16,178.72000122070312,2.0,1.0,2.0
52,2023-10-17,177.14999389648438,2.0,4.0,0.0
53,2023-10-18,175.83999633789062,2.0,1.0,2.0
54,2023-10-19,175.4600067138672,1.0,1.0,2.0
55,2023-10-20,172.8800048828125,0.0,2.0,0.0
56,2023-10-23,173.0,1.0,2.0,3.0
57,2023-10-24,173.44000244140625,2.0,1.0,3.0
58,2023-10-25,171.10000610351562,2.0,2.0,2.0
59,2023-10-26,166.88999938964844,0.0,0.0,2.0
60,2023-10-27,168.22000122070312,4.0,0.0,2.0
61,2023-10-30,170.2899932861328,2.0,1.0,4.0
62,2023-10-31,170.77000427246094,3.0,0.0,1.0
63,2023-11-01,173.97000122070312,2.0,3.0,1.0
64,2023-11-02,177.57000732421875,2.0,4.0,4.0
65,2023-11-03,176.64999389648438,1.0,0.0,5.0
66,2023-11-06,179.22999572753906,1.0,1.0,3.0
67,2023-11-07,181.82000732421875,2.0,0.0,2.0
68,2023-11-08,182.88999938964844,0.0,0.0,3.0
69,2023-11-09,182.41000366210935,1.0,2.0,0.0
70,2023-11-10,186.3999938964844,3.0,1.0,2.0
71,2023-11-13,184.8000030517578,0.0,1.0,1.0
72,2023-11-14,187.44000244140625,3.0,1.0,4.0
73,2023-11-15,188.00999450683597,2.0,0.0,4.0
74,2023-11-16,189.7100067138672,2.0,1.0,2.0
75,2023-11-17,189.69000244140625,2.0,0.0,2.0
76,2023-11-20,191.4499969482422,1.0,1.0,1.0
77,2023-11-21,190.63999938964844,1.0,1.0,1.0
78,2023-11-22,191.30999755859372,2.0,2.0,3.0
79,2023-11-24,189.97000122070312,0.0,1.0,3.0
80,2023-11-27,189.7899932861328,1.0,1.0,3.0
81,2023-11-28,190.3999938964844,1.0,2.0,3.0
82,2023-11-29,189.3699951171875,1.0,0.0,0.0
83,2023-11-30,189.9499969482422,1.0,1.0,3.0
84,2023-12-01,191.2400054931641,1.0,2.0,1.0
85,2023-12-04,189.42999267578125,1.0,2.0,0.0
86,2023-12-05,193.4199981689453,3.0,3.0,0.0
87,2023-12-06,192.32000732421875,1.0,4.0,2.0
88,2023-12-07,194.2700042724609,1.0,0.0,2.0
